ProductID,UserID,ProfileName,Helpfuness,Score
 B003AI2VGA, A141HP4LYPWMSR," Brian E. Erland ""Rainbow Sphinx""", 7/7, 3.0
 B003AI2VGA, A328S9RN3U5M68, Grady Harp, 4/4, 3.0
 B003AI2VGA, A1I7QGUDP043DG," Chrissy K. McVay ""Writer""", 8/10, 5.0
 B003AI2VGA, A1M5405JH9THP9, golgotha.gov, 1/1, 3.0
 B003AI2VGA, ATXL536YX71TR," KerrLines ""&#34", 0/0, 2.0
 B003AI2VGA, A3QYDL5CDNYN66," abra ""a devoted reader""", 3/11, 1.0
 B003AI2VGA, AQJVNDW6YZFQS, Charles R. Williams, 64/65, 5.0
 B00006HAXW, AD4CDZK7D31XP, Anthony Accordino, 26/26, 5.0
 B00006HAXW, A3Q4S5DFVPB70D, Joseph P. Aiello, 24/24, 5.0
 B00006HAXW, A2P7UB02HAVEPB," ""bruce_from_la""", 22/23, 4.0
 B00006HAXW, A2TX99AZKDK0V7, Henrique Peirano, 14/14, 5.0
 B00006HAXW, AFC8IKR407HSK, Richard Albero, 9/9, 5.0
 B00006HAXW, A1FRPGQYQTAOR1, Les, 9/9, 5.0
 B00006HAXW, A1RSDE90N6RSZF, Joseph M. Kotow, 7/7, 4.0
 B00006HAXW, A1OUBOGB5970AO," ""fellafromnyc""", 7/7, 5.0
 B00006HAXW, A3NPHQVIY59Y0Y, S. Dorman, 7/7, 5.0
 B00006HAXW, AFKMBAY28XO8A, RFP, 4/4, 5.0
 B00006HAXW, A66KMXH9V7OGU, C. Thomas, 3/3, 5.0
 B00006HAXW, AFJ27ZV9183B8, Michael A. Martin, 5/6, 5.0
 B00006HAXW, AXMKAXC0TR9AW," C. W. Emblom ""Bill Emblom""", 18/19, 5.0
 B00004CQT3, A34KFDQ5KBHZA5, steven conklin, 14/15, 5.0
 B00004CQT3, A1CIW2OEVAJRM2, Godly Gadfly, 10/11, 5.0
 B00004CQT3, A1VJCDRXUQVXBM, K. Kangley, 7/7, 5.0
 B00004CQT3, A2IMLPUXYQJTSY," Jerry Loveless ""jerryl3515""", 4/4, 5.0
 B00004CQT3, A1D12NAC1U12F0," Frank J. Pickens ""Blade""", 1/1, 5.0
 B00004CQT3, A3RVH9HUN9J4LZ, Michael, 1/1, 5.0
 B00004CQT3, AH7ZNGM8WOOGN," Gary E. Hogan ""GEH""", 0/0, 3.0
 B00004CQT3, A2582KMXLK2P06, B. E Jackson, 0/0, 5.0
 B00004CQT3, A1J50B4K22D93F, Jack, 0/0, 4.0
 B00004CQT3, A2DLKD4AC5JV5Q, Ranny Levy, 0/0, 5.0
